Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(20293580k free), swap 38339764k(24456416k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/dumpExceeded.hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T22:23:24.156+0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->748K(9728K), 0.0011383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T22:23:25.690+0800: 1.705: [Full GC (Ergonomics) [PSYoungGen: 1024K->991K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8077K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0287011 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.720+0800: 1.735: [Full GC (Ergonomics) [PSYoungGen: 1024K->995K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8082K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0203047 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.740+0800: 1.755: [Full GC (Ergonomics) [PSYoungGen: 1024K->999K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8085K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0217946 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.762+0800: 1.777: [Full GC (Ergonomics) [PSYoungGen: 1024K->1002K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8089K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0221352 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.785+0800: 1.799: [Full GC (Ergonomics) [PSYoungGen: 1024K->1005K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8092K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0247272 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.810+0800: 1.824: [Full GC (Ergonomics) [PSYoungGen: 1024K->1007K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8094K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0202584 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.831+0800: 1.845: [Full GC (Ergonomics) [PSYoungGen: 1024K->1010K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8096K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0273302 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2021-04-26T22:23:25.857+0800: 1.872: [Full GC (Ergonomics) [PSYoungGen: 1024K->1012K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8098K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0170823 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-04-26T22:23:25.875+0800: 1.890: [Full GC (Ergonomics) [PSYoungGen: 1024K->1013K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8100K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0212945 secs] [Times: user=0.08 sys=0.03, real=0.02 secs] 
2021-04-26T22:23:25.897+0800: 1.911: [Full GC (Ergonomics) [PSYoungGen: 1024K->1014K(2048K)] [ParOldGen: 7086K->7086K(7168K)] 8110K->8101K(9216K), [Metaspace: 4525K->4525K(1056768K)], 0.0218720 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
