Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(20242496k free), swap 38339764k(24411648k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/dumpHeap1.hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseGCOverheadLimit -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T22:32:59.427+0800: 0.170: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->752K(9728K), 0.0007287 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-04-26T22:33:00.788+0800: 1.531: [Full GC (Ergonomics) [PSYoungGen: 1024K->974K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8117K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0166757 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.805+0800: 1.548: [Full GC (Ergonomics) [PSYoungGen: 1024K->980K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8123K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0191245 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.825+0800: 1.567: [Full GC (Ergonomics) [PSYoungGen: 1024K->986K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8129K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0264409 secs] [Times: user=0.22 sys=0.01, real=0.03 secs] 
2021-04-26T22:33:00.851+0800: 1.594: [Full GC (Ergonomics) [PSYoungGen: 1024K->990K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8134K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0227586 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.874+0800: 1.617: [Full GC (Ergonomics) [PSYoungGen: 1024K->995K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8138K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0227444 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.898+0800: 1.640: [Full GC (Ergonomics) [PSYoungGen: 1024K->998K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8141K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0246741 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:00.923+0800: 1.665: [Full GC (Ergonomics) [PSYoungGen: 1024K->1002K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8145K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0384411 secs] [Times: user=0.22 sys=0.00, real=0.04 secs] 
2021-04-26T22:33:00.961+0800: 1.704: [Full GC (Ergonomics) [PSYoungGen: 1024K->1004K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8147K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0287867 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:00.990+0800: 1.733: [Full GC (Ergonomics) [PSYoungGen: 1024K->1007K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8150K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0294067 secs] [Times: user=0.03 sys=0.03, real=0.03 secs] 
2021-04-26T22:33:01.020+0800: 1.762: [Full GC (Ergonomics) [PSYoungGen: 1024K->1009K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8152K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0334187 secs] [Times: user=0.06 sys=0.03, real=0.03 secs] 
2021-04-26T22:33:01.053+0800: 1.796: [Full GC (Ergonomics) [PSYoungGen: 1024K->1011K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8154K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0256327 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
2021-04-26T22:33:01.079+0800: 1.822: [Full GC (Ergonomics) [PSYoungGen: 1024K->1013K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8156K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0362573 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2021-04-26T22:33:01.116+0800: 1.859: [Full GC (Ergonomics) [PSYoungGen: 1024K->1014K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8157K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0310335 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:01.148+0800: 1.890: [Full GC (Ergonomics) [PSYoungGen: 1024K->1015K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8159K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0408802 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2021-04-26T22:33:01.189+0800: 1.931: [Full GC (Ergonomics) [PSYoungGen: 1024K->1016K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8159K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0433164 secs] [Times: user=0.08 sys=0.02, real=0.04 secs] 
2021-04-26T22:33:01.232+0800: 1.975: [Full GC (Ergonomics) [PSYoungGen: 1024K->1017K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8160K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0301117 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:01.263+0800: 2.005: [Full GC (Ergonomics) [PSYoungGen: 1024K->1018K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8161K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0241306 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:01.288+0800: 2.030: [Full GC (Ergonomics) [PSYoungGen: 1024K->1019K(2048K)] [ParOldGen: 7143K->7143K(7168K)] 8167K->8162K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0250024 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:01.312+0800: 2.055: [Full GC (Ergonomics) [PSYoungGen: 1024K->1019K(2048K)] [ParOldGen: 7143K->7122K(7168K)] 8167K->8142K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0362356 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
2021-04-26T22:33:01.349+0800: 2.091: [Full GC (Ergonomics) [PSYoungGen: 1024K->1020K(2048K)] [ParOldGen: 7122K->7122K(7168K)] 8146K->8142K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0196241 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2021-04-26T22:33:01.370+0800: 2.111: [Full GC (Ergonomics) [PSYoungGen: 1024K->1020K(2048K)] [ParOldGen: 7122K->7122K(7168K)] 8146K->8143K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0318130 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:01.401+0800: 2.143: [Full GC (Ergonomics) [PSYoungGen: 1024K->1021K(2048K)] [ParOldGen: 7122K->7122K(7168K)] 8146K->8143K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0237285 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2021-04-26T22:33:01.425+0800: 2.167: [Full GC (Ergonomics) [PSYoungGen: 1024K->1021K(2048K)] [ParOldGen: 7122K->7122K(7168K)] 8146K->8144K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0266831 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2021-04-26T22:33:01.452+0800: 2.194: [Full GC (Ergonomics) [PSYoungGen: 1024K->1021K(2048K)] [ParOldGen: 7122K->7122K(7168K)] 8146K->8143K(9216K), [Metaspace: 4341K->4341K(1056768K)], 0.0407014 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
