Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33359028k(21893212k free), swap 38339764k(26761236k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=heap/heapdump.hprof -XX:InitialHeapSize=52428800 -XX:+ManagementServer -XX:MaxHeapSize=52428800 -XX:MetaspaceSize=67108864 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-04-26T21:51:02.617+0800: 1.212: [GC (Allocation Failure) [PSYoungGen: 12800K->2040K(14848K)] 12800K->2445K(49152K), 0.0027857 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-04-26T21:51:13.207+0800: 11.801: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33949K->33949K(34304K)] 39581K->39581K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.1255366 secs] [Times: user=0.52 sys=0.01, real=0.13 secs] 
2021-04-26T21:51:13.333+0800: 11.927: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33951K->33951K(34304K)] 39583K->39583K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.1098383 secs] [Times: user=0.69 sys=0.02, real=0.11 secs] 
2021-04-26T21:51:13.443+0800: 12.037: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33953K->33953K(34304K)] 39585K->39585K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.1650080 secs] [Times: user=0.47 sys=0.03, real=0.16 secs] 
2021-04-26T21:51:13.608+0800: 12.202: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33955K->33955K(34304K)] 39587K->39587K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.1432192 secs] [Times: user=0.53 sys=0.00, real=0.14 secs] 
2021-04-26T21:51:13.752+0800: 12.346: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33957K->33933K(34304K)] 39589K->39565K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.2086475 secs] [Times: user=0.64 sys=0.02, real=0.21 secs] 
2021-04-26T21:51:13.961+0800: 12.555: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33935K->33925K(34304K)] 39567K->39557K(45568K), [Metaspace: 33560K->33560K(1081344K)], 0.1666703 secs] [Times: user=0.84 sys=0.06, real=0.17 secs] 
2021-04-26T21:51:14.128+0800: 12.722: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33927K->33868K(34304K)] 39559K->39500K(45568K), [Metaspace: 33560K->33558K(1081344K)], 0.1445093 secs] [Times: user=1.13 sys=0.02, real=0.14 secs] 
2021-04-26T21:51:14.273+0800: 12.866: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33870K->33846K(34304K)] 39502K->39478K(45568K), [Metaspace: 33558K->33558K(1081344K)], 0.1266142 secs] [Times: user=0.80 sys=0.00, real=0.13 secs] 
2021-04-26T21:51:14.400+0800: 12.993: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33848K->33798K(34304K)] 39480K->39430K(45568K), [Metaspace: 33558K->33558K(1081344K)], 0.1449344 secs] [Times: user=1.00 sys=0.00, real=0.14 secs] 
2021-04-26T21:51:14.544+0800: 13.138: [Full GC (Ergonomics) [PSYoungGen: 5632K->5632K(11264K)] [ParOldGen: 33800K->33793K(34304K)] 39432K->39425K(45568K), [Metaspace: 33558K->33558K(1081344K)], 0.1219971 secs] [Times: user=0.91 sys=0.00, real=0.12 secs] 
2021-04-26T21:51:14.667+0800: 13.261: [Full GC (Ergonomics) [PSYoungGen: 5632K->5120K(11264K)] [ParOldGen: 33795K->34295K(34304K)] 39427K->39415K(45568K), [Metaspace: 33558K->33550K(1081344K)], 0.1350561 secs] [Times: user=0.81 sys=0.00, real=0.13 secs] 
2021-04-26T21:51:14.802+0800: 13.396: [Full GC (Ergonomics) [PSYoungGen: 5525K->5519K(11264K)] [ParOldGen: 34295K->34289K(34304K)] 39820K->39808K(45568K), [Metaspace: 33550K->33550K(1081344K)], 0.1281899 secs] [Times: user=0.98 sys=0.00, real=0.13 secs] 
2021-04-26T21:51:14.930+0800: 13.524: [Full GC (Allocation Failure) [PSYoungGen: 5519K->3983K(11264K)] [ParOldGen: 34289K->34296K(34304K)] 39808K->38279K(45568K), [Metaspace: 33550K->33379K(1081344K)], 0.1656866 secs] [Times: user=0.95 sys=0.03, real=0.17 secs] 
2021-04-26T21:51:15.363+0800: 13.958: [Full GC (Ergonomics) [PSYoungGen: 5630K->0K(11264K)] [ParOldGen: 34296K->9939K(34304K)] 39926K->9939K(45568K), [Metaspace: 33396K->33396K(1081344K)], 0.0340814 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
